conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1883529732551315781,Mon Jan 27 04:01:56 +0000 2025,0,@kartarahardja Skrg Kim+ udh mendominasi DPR. Ayoo dong sah kan RUU perampasan aset toh dri fraksi PDIP jga udh mendorong ko dri mulai dilantik nya anggota DPR baru Adian dkk sdh meneriakkan utk sah kan RUU tsb tpi mana ?,1883727112932405705,,kartarahardja,in,,0,0,0,https://x.com/undefined/status/1883727112932405705,1613888629956562949,
1883529732551315781,Mon Jan 27 02:59:24 +0000 2025,3,@kartarahardja Padahal mayoritas kursi di DPR adalah partai pendukung koalisi pemerintah ujar Tibiko. Peneliti Pusat Kajian Antikorupsi Universitas Gadjah Mada (Pukat UGM) Zaenur Rohman menyebut apa yang diminta Presiden Jokowi untuk RUU Perampasan Aset sekadar lips service belaka.,1883711375366885603,,kartarahardja,in,,0,1,1,https://x.com/undefined/status/1883711375366885603,1004810197603311617,
1883529732551315781,Sun Jan 26 18:24:03 +0000 2025,2,@kartarahardja Dia santai bikin surpres RUU perampasan aset karena asetnya kagak ada yang nyolong dah geetuu aja he he he,1883581685100675135,,kartarahardja,in,,0,0,0,https://x.com/undefined/status/1883581685100675135,161251950,
1883553271316635748,Sun Jan 26 16:31:09 +0000 2025,0,Gue juga mau kok percaya kalau makan Jangkrik itu bergizi. Tapi jaminan apa yang bisa lu kasih atas kepercayaan kami @prabowo @gibran_tweet @Gerindra ? Bisa ngejamin koruptor dihukum minimal 10 tahun dan RUU Perampasan Aset di sahkan gak?,1883553271316635748,,,in,,0,0,0,https://x.com/undefined/status/1883553271316635748,1631819627587067904,
1883479612346482936,Sun Jan 26 11:38:27 +0000 2025,0,sampek kapanpun negara indo ini gakan bisa maju karna rakyatnya banyakan yg tolol mental pengemis maling dan serakah pantas dpr gamau sahkan ruu perampasan aset para koruptor ya begini rakyatnya dan dprnya juga bukan dibantu malah ambil jeruknya rebutan tolol.,1883479612346482936,,,in,,0,0,0,https://x.com/undefined/status/1883479612346482936,1488190832708820992,
1883442107593228565,Sun Jan 26 10:17:27 +0000 2025,0,@Mdy_Asmara1701 Utusan presiden sebanyak itu harus dipangkas tunjangan ini itu juga dipangkas kabinet di rampingin RUU perampasan aset disahkan Gitu aja lho kok susah amat,1883459228100333637,,Mdy_Asmara1701,in,,0,0,0,https://x.com/undefined/status/1883459228100333637,1734329142,
1883329465901826259,Sun Jan 26 01:41:49 +0000 2025,1,Om bahkan kalau pemerintah ngomong kalau makan tembok bergizi juga warga mau kok percaya. Pertanyaannya jaminan kepercayaan rakyat ada gak? Kalau kasus korupsi masih dibawah 10 tahun dan RUU Perampasan Aset gak ada gue sih wajar kalau mereka misuh ,1883329465901826259,,,in,,0,0,0,https://x.com/undefined/status/1883329465901826259,1631819627587067904,
1883077561292632353,Sat Jan 25 22:29:50 +0000 2025,0,@TukangBedah00 Bermula dari cara masuknya yg gak bener.. sama aja kayak DPR Mau jadi anggota dpr harus keluar duit banyak.. akhirnya harus korupsi biar balik modal itu belum ambil untung.. makanya DPR banyak kasus korupsi dan mereka gak mau ketok RUU perampasan aset,1883281151944769951,,adanginyah,in,,0,0,0,https://x.com/undefined/status/1883281151944769951,70632574,
1883124430127468816,Sat Jan 25 14:27:53 +0000 2025,0,@hemaviton99 @prabowo @Fraksi_Gerindra setuju apalagi RUU Perampasan Aset Koruptor segera disahkan segera laksanakan amanat reformasi pemerintahan yg bersih dari KKN,1883159861300761040,,hemaviton99,in,,0,0,0,https://x.com/undefined/status/1883159861300761040,2283951606,
1882745987514724476,Sat Jan 25 12:32:42 +0000 2025,0,@Heraloebss kalau RUU perampasan aset disahkan anggota DPR jadi gembel semua,1883130878257496212,,Heraloebss,in,,0,0,0,https://x.com/undefined/status/1883130878257496212,1735294984402984960,
1883080264618037276,Sat Jan 25 10:18:52 +0000 2025,2,@Kelik_Es @Dennysiregar7 bukan tidak menguntungkan tapi membahas ini bisa mati gaya atau bunuh diri karena disana sarangnya korupsi https://t.co/xrSYMiniWG,1883097196629020674,,Kelik_Es,in,,0,0,1,https://x.com/undefined/status/1883097196629020674,960248512108576768,
1883069959095321040,Sat Jan 25 09:48:15 +0000 2025,3,@Sarawakyesss @H1m4_W4r1 @pemburupendusta @detikcom @EviDrajat @Hermoyliana @Abbot_CapruxII @ChainsawSimple @ike_hw71 @PUTRY_NUSANTARA @bonapasogit24 @8_FERRY_8 Hai paman wari$ ayuk dukung KIM plus sahkan RUU Perampasan aset. Masa kamu kepanasan seperti lg di dalam gerbong kereta belgi bersama misua tampan ,1883089490778239239,,Sarawakyesss,in,,0,1,0,https://x.com/undefined/status/1883089490778239239,217651975,
1882745987514724476,Sat Jan 25 09:06:04 +0000 2025,0,@Heraloebss Yaelahhh mengharap ruu perampasan aset koruptor di ACC di rezim keberlanjutan sih gak masuk akal wkwk,1883078875900735694,,Heraloebss,in,,0,0,0,https://x.com/undefined/status/1883078875900735694,1383737022913728515,
1882745987514724476,Sat Jan 25 05:44:58 +0000 2025,0,@rvviz7 @Heraloebss @prabowo Jika RUU perampasan aset di sahkan Kamu juga bisa kena RUU itu jika kamu terbukti korupsi. Setidaknya lu baca dulu RUU final Perampasan Aset sebelum lu bilang bayar pajak. ,1883028268150063343,,rvviz7,in,,0,0,0,https://x.com/undefined/status/1883028268150063343,2661239670,
1882745987514724476,Sat Jan 25 05:42:45 +0000 2025,0,@Heraloebss Keliru salah kalau Kamu mengira hanya untuk Koruptor saja. Lu sudah baca belum RUU perampasan aset itu bukan untuk Koruptor saja tapi untuk Setiap Orang termasuk Kamu sendiri atau ada anggota Keluarga Kamu jika terbukti korupsi di Pengadilan semua aset lu di sita juga ,1883027710014099732,,Heraloebss,in,,0,0,0,https://x.com/undefined/status/1883027710014099732,2661239670,
1882779597449896177,Sat Jan 25 04:01:34 +0000 2025,2,@tempodotco Yg lbh penting RUU Perampasan Aset gk disinggung.. takut senjata mkn tuan ya.. suck,1883002247128490165,,tempodotco,in,,0,0,0,https://x.com/undefined/status/1883002247128490165,797686973565517824,
1882991131912499701,Sat Jan 25 03:17:24 +0000 2025,0,‼️ RUU Perampasan Aset sdh lm tak kunjung disetujui DPR nun ini yg diusulkan lbh urgent.. https://t.co/fwur3jWXw9,1882991131912499701,,,in,,0,0,0,https://x.com/undefined/status/1882991131912499701,702038954426535937,
1882975926876807391,Sat Jan 25 02:16:59 +0000 2025,2,20/3-2024 Mengapa Korupsi dan segala macamnya masih beroperasi terang-terangan di depan umum di seluruh Indonesia.Diperkirakan belum disahkan RUU tentang perampasan seluruh aset para koruptor dan sejenisnya untuk negara oleh DPR/MPR pemerintah sudah setuju saat itu juga. https://t.co/7ncNJvjlWF,1882975926876807391,https://pbs.twimg.com/tweet_video_thumb/GiGsjQDbEAAs3eT.jpg,,in,,0,0,0,https://x.com/undefined/status/1882975926876807391,1748142277233651712,
1882656332379210095,Sat Jan 25 00:59:10 +0000 2025,0,@kompascom Dari pada ngurusin moge mending mengesahkan RUU Perampasan Aset koruptor.. itu yang paling banyak menghasilkan cuan tuk negara,1882956344690700608,,kompascom,in,,0,0,0,https://x.com/undefined/status/1882956344690700608,1636360003891380225,
1882666061574594952,Fri Jan 24 23:47:35 +0000 2025,0,@kumparan referensi kami tuh siapa sih bu? Gak pernah gw tengok dpr bikin kebijakan pro rakyat ruu perampasan aset aja bertahun kagak di sahkan,1882938330465386995,,kumparan,in,,0,0,0,https://x.com/undefined/status/1882938330465386995,1552275713406877697,
