conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.86056994983369E+018,Sun Nov 24 06:23:38 +0000 2024,7,Anggota DPR ada yang ketakutan dengan OTT. Pantas dengan RUU perampasan aset juga takut. Terkesan menghindar,1.86056994983369E+018,,,in,,0,1,3,https://x.com/undefined/status/1860569949833691592,1.33454470091772E+018,
1.86056195483156E+018,Sun Nov 24 05:51:52 +0000 2024,0,Alhamdulillah untung saya tdk milih atau Golput pada Pileg beberapa pemilihan. Sehingga saya tdk ikut mempertanggungjawabkan pilihan saya kelak di Akhirat krn pilih Org Brengsek (sdh Gaji Gede dpt Pensiun pula dari Uang Rakyat) @antikorupsi @sahabatICW https://t.co/O3BBTETiSB,1.86056195483156E+018,,,in,,0,0,0,https://x.com/undefined/status/1860561954831564915,2960773638,
1.8605578924512E+018,Sun Nov 24 05:35:43 +0000 2024,12,Out of the box. Dan jangan harap RUU Perampasan Aset akan disahkan meskipun akan masuk Prolegnas tahun depan.,1.8605578924512E+018,,,in,,0,5,4,https://x.com/undefined/status/1860557892451205422,2650421658,
1.85998889851829E+018,Sun Nov 24 05:04:36 +0000 2024,0,@Heraloebss @prabowo Ini koruptor tuh hukumannya cuma penjara doang kah? G ada gitu suruh balikin sesuai kerugian negara + bayar denda gitu. Kok klo cm penjara kyk ringan bgt dah. Ini dpr kapan sahkan RUU Perampasan Aset? Giliran uu masalah pemilu dan cal,1.86055006249094E+018,,Heraloebss,in,,0,0,0,https://x.com/undefined/status/1860550062490943903,3103919198,
1.86052930766127E+018,Sun Nov 24 03:52:18 +0000 2024,0,Oleh2 utk @riekediahp kok ibu tdk mau desak pengesahan RUU perampasan aset koruptor sih uang negara ilang hasil korupsi diubah menjadi harta bergerak &amp,,,,,,,,,,,
1.86052930766127E+018,Sun Nov 24 03:42:08 +0000 2024,0,Penolakan PPN 12% sgt bahaya utk APBN smuanya udah dihitung dgn teliti oleh @KemenkeuRI wakil rakyat kumpulan org2 bodoh krn cuma bsa kritik doank RUU perampasan aset mangkrak oleh kaum celeng tuh pdahal uang negara ilang oleh koruptor,1.86052930766127E+018,,,in,,0,2,0,https://x.com/undefined/status/1860529307661271062,1.72556828960113E+018,
1.86051820969648E+018,Sun Nov 24 02:58:04 +0000 2024,0,Hal tersebut disampaikan dalam Rapat Kerja (Raker) Penyusunan Prolegnas RUU Jangka Menengah Tahun 2025-2029 dan Prolegnas RUU Prioritas Tahun 2025. Selanjutnya di: https://t.co/dXfEUKA2Ic,1.86051821559365E+018,,kemenkummalut,in,,0,0,0,https://x.com/undefined/status/1860518215593656668,1.36265041109038E+018,
1.86051820969648E+018,Sun Nov 24 02:58:03 +0000 2024,0,dengan mengusulkan Rancangan Undang-Undang (RUU) Perampasan Aset Terkait Tindak Pidana ke dalam Program Legislasi Nasional (Prolegnas) tahun 2025-2029.,1.86051821332877E+018,,kemenkummalut,in,,0,1,0,https://x.com/undefined/status/1860518213328777588,1.36265041109038E+018,
1.86051820969648E+018,Sun Nov 24 02:58:02 +0000 2024,0,RUU Perampasan Aset Masuk Usulan Prolegnas Kakanwil Kemenkumham Malut Dukung Langkah Menteri Hukum Jakarta Menteri Hukum Republik Indonesia Supratman Andi Agtas menyampaikan bahwa pemerintah berkomitmen kuat dalam memberantas korupsi https://t.co/2SnJBvLM3h,1.86051820969648E+018,https://pbs.twimg.com/media/GdHjcPnaoAAidpt.jpg,,in,,0,1,0,https://x.com/undefined/status/1860518209696485836,1.36265041109038E+018,
1.86014706999195E+018,Sat Nov 23 02:23:16 +0000 2024,0,tolol mending sah kan ruu perampasan aset drpd beropini hal hal tolol bgini di dunia ini,1.86014706999195E+018,,,in,,0,0,0,https://x.com/undefined/status/1860147069991956598,1.01297173263262E+018,
